f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
114.1912,214.7552,440.16100000000006,560.592,2910.0,5220.0,6082.0,3060.0,14.0,30.0,52.0,66.0,90.0,248.0,300.0,202.0,9.597299999999999,23.355000000000004,36.97740000000001,37.3758,2.8560999999999996,33.5296,30.1665,61.093500000000006,2304.0,2208.0,2016.0,2880.0,1.0,6.0,7.0,15.0,36.0,90.0,144.0,234.0,2.1904,6.5416,7.977199999999999,13.541999999999996,0.0,-9.7,-6.019999999999998,-10.799999999999997,0.0,242.0,294.0,660.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,51.0,0.0,4.46,4.97,13.05,mof_primitive
114.1912,214.7552,440.161,560.5919999999999,2910.0,5220.0,6082.0,3060.0,14.0,30.0,52.0,66.0,90.0,248.0,300.0,202.0,9.597299999999999,23.355000000000004,36.9774,37.375800000000005,2.8560999999999996,33.5296,30.1665,61.093500000000006,2304.0,2208.0,2016.0,2880.0,1.0,6.0,7.0,15.0,36.0,90.0,144.0,234.0,2.1904,6.5416,7.977199999999999,13.541999999999996,0.0,-9.7,-6.019999999999998,-10.799999999999997,0.0,242.0,294.0,660.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,51.0,0.0,4.46,4.97,13.05,mof_primitive
114.1912,214.7552,440.16100000000006,560.592,2910.0,5220.0,6082.0,3060.0,14.0,30.0,52.0,66.0,90.0,248.0,300.0,202.0,9.5973,23.354999999999997,36.97740000000001,37.37579999999999,2.8560999999999996,33.5296,30.1665,61.093500000000006,2304.0,2208.0,2016.0,2880.0,1.0,6.0,7.0,15.0,36.0,90.0,144.0,234.0,2.1904,6.5416,7.977199999999999,13.541999999999996,0.0,-9.7,-6.019999999999998,-10.799999999999997,0.0,242.0,294.0,660.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,51.0,0.0,4.46,4.97,13.05,mof_primitive
114.1912,214.7552,440.161,560.5919999999999,2910.0,5220.0,6082.0,3060.0,14.0,30.0,52.0,66.0,90.0,248.0,300.0,202.0,9.5973,23.355000000000004,36.9774,37.375800000000005,2.8560999999999996,33.5296,30.1665,61.093500000000006,2304.0,2208.0,2016.0,2880.0,1.0,6.0,7.0,15.0,36.0,90.0,144.0,234.0,2.1904,6.5416,7.977199999999999,13.541999999999996,0.0,-9.7,-6.019999999999998,-10.799999999999997,0.0,242.0,294.0,660.0,0.0,0.0,0.0,0.0,0.0,21.0,18.0,51.0,0.0,4.46,4.97,13.05,mof_primitive
