f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,name
95.8551,170.07999999999998,292.7,387.192,2810.0,4272.0,4754.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,8.4715,18.915000000000006,26.939200000000007,26.103,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
84.02149999999999,140.9088,203.5352,299.472,2746.0,3408.0,4274.0,1632.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.938600000000001,15.630000000000004,22.617600000000003,20.482,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
95.8551,170.07999999999998,292.70000000000005,387.19199999999995,2810.0,4272.0,4754.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,8.471499999999999,18.915,26.9392,26.103,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
84.02149999999999,140.90879999999999,203.5352,299.472,2746.0,3408.0,4274.0,1632.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.938600000000001,15.63,22.6176,20.482000000000003,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
95.85509999999998,170.08,292.7,387.19199999999995,2810.0,4272.0,4754.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,8.4715,18.915000000000006,26.939200000000007,26.103,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
84.02149999999999,140.90879999999996,203.53520000000003,299.472,2746.0,3408.0,4274.0,1632.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.938600000000001,15.630000000000003,22.617600000000003,20.482,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
95.85509999999998,170.08,292.7,387.19199999999995,2810.0,4272.0,4754.0,2112.0,12.0,24.0,36.0,46.0,64.0,164.0,188.0,124.0,8.4715,18.915000000000003,26.939200000000007,26.103,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
84.02149999999999,140.9088,203.53519999999997,299.4719999999999,2746.0,3408.0,4274.0,1632.0,11.0,20.0,28.0,36.0,48.0,112.0,126.0,88.0,7.938599999999999,15.630000000000003,22.617600000000003,20.482,2.8560999999999996,24.8092,25.857,45.1399,2304.0,1632.0,1728.0,2208.0,1.0,4.5,6.0,10.5,20.5,50.0,81.0,92.0,2.1904,4.920999999999999,6.8376,9.508999999999999,0.0,-7.075000000000001,-5.1599999999999975,-8.964999999999998,0.0,182.0,252.0,458.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,26.5,0.0,3.3350000000000004,4.259999999999999,9.114999999999998,mof_primitive
